Video: input_video.mp4
Total frames analyzed: 624 (every 2th frame)

Frame,Emotion,Confidence(%)
668,surprise,97.08
670,surprise,99.92
672,surprise,95.73
674,surprise,99.93
676,surprise,99.69
678,surprise,99.55
680,surprise,99.85
682,surprise,99.57
684,surprise,95.92
686,surprise,97.39
688,surprise,98.98
690,surprise,99.49
692,surprise,99.60
694,surprise,98.82
696,surprise,99.79
698,surprise,98.97
700,surprise,98.96
702,surprise,98.17
704,surprise,95.08
706,surprise,99.77
708,surprise,97.52
710,surprise,99.94
712,surprise,99.71
714,surprise,89.23
716,surprise,99.91
718,surprise,99.32
720,surprise,99.35
722,surprise,99.11
724,surprise,91.77
726,surprise,94.80
728,surprise,97.58
746,surprise,99.59
748,surprise,99.73
750,surprise,98.04
752,surprise,97.83
754,surprise,95.67
756,neutral,90.73
758,neutral,99.85
760,neutral,63.70
762,neutral,85.41
764,neutral,69.33
766,neutral,56.23
768,fear,75.04
770,neutral,47.62
772,neutral,36.21
774,fear,30.52
776,neutral,36.35
778,neutral,72.18
780,fear,49.91
782,neutral,33.78
784,fear,28.33
786,neutral,50.86
788,fear,46.45
790,fear,44.22
792,neutral,53.45
794,fear,49.79
796,fear,61.36
798,fear,39.26
800,neutral,39.08
802,neutral,33.88
804,fear,39.29
806,fear,50.82
808,fear,43.85
810,fear,41.98
812,sad,30.12
814,neutral,47.84
816,neutral,40.45
818,fear,35.46
820,neutral,80.42
822,fear,31.97
824,fear,62.58
826,neutral,78.06
828,neutral,56.47
830,neutral,76.45
832,surprise,77.19
834,neutral,79.53
836,neutral,50.80
838,neutral,77.51
840,neutral,49.11
842,neutral,97.37
844,surprise,51.31
846,neutral,52.89
848,neutral,70.90
850,surprise,54.35
852,surprise,48.51
854,neutral,99.66
856,surprise,68.74
858,surprise,60.22
860,neutral,94.88
862,neutral,51.80
864,surprise,75.23
866,surprise,74.23
868,surprise,77.16
870,surprise,85.14
872,neutral,47.73
874,angry,45.14
876,surprise,80.45
878,surprise,68.01
880,neutral,82.57
882,neutral,65.80
884,neutral,99.80
886,neutral,93.94
888,neutral,65.90
890,neutral,99.52
892,fear,76.36
896,surprise,98.01
898,surprise,94.59
900,sad,82.44
902,angry,70.20
904,surprise,55.01
906,surprise,67.16
908,surprise,92.33
910,sad,83.65
912,surprise,74.10
914,neutral,99.65
916,sad,67.09
918,surprise,89.11
920,sad,73.62
922,sad,58.27
924,surprise,69.84
926,sad,40.66
928,neutral,99.78
930,fear,51.36
932,neutral,81.94
934,neutral,61.99
936,fear,87.56
938,neutral,55.60
940,fear,92.78
942,neutral,87.84
944,surprise,92.85
946,fear,93.98
948,fear,94.28
950,fear,96.90
952,fear,78.67
954,fear,86.66
956,fear,75.28
958,fear,91.26
960,fear,80.16
962,surprise,74.84
964,surprise,59.11
966,fear,58.56
968,surprise,67.08
970,surprise,86.28
972,fear,89.29
974,surprise,60.42
976,surprise,43.05
978,surprise,72.28
980,surprise,95.02
982,fear,50.82
986,surprise,90.19
988,neutral,93.32
990,neutral,97.23
992,happy,91.11
994,happy,99.83
996,fear,65.90
1002,happy,99.96
1004,happy,79.80
1006,happy,99.69
1008,happy,99.94
1010,happy,98.81
1012,happy,97.75
1014,happy,98.31
1016,happy,82.07
1018,happy,92.57
1020,happy,75.67
1022,happy,97.67
1024,happy,99.99
1026,happy,96.15
1028,happy,86.48
1034,happy,98.26
1036,happy,99.76
1038,sad,71.03
1040,happy,99.95
1042,happy,95.62
1044,sad,75.69
1046,happy,99.87
1048,happy,99.53
1050,neutral,71.35
1052,happy,99.92
1054,neutral,93.93
1056,neutral,98.75
1058,neutral,97.18
1060,sad,40.90
1062,neutral,98.70
1064,neutral,80.50
1066,neutral,89.94
1068,neutral,82.50
1070,happy,55.00
1072,happy,98.16
1074,happy,92.00
1076,neutral,64.83
1078,happy,96.78
1080,happy,73.57
1082,happy,75.18
1084,neutral,69.12
1086,neutral,60.33
1088,neutral,93.90
1090,neutral,81.22
1092,neutral,92.10
1094,neutral,45.44
1096,happy,66.69
1098,happy,87.97
1100,happy,74.11
1102,happy,54.46
1104,neutral,72.53
1106,happy,91.56
1108,neutral,71.09
1110,neutral,87.99
1112,neutral,60.45
1114,neutral,41.53
1116,neutral,78.12
1118,happy,86.47
1120,happy,87.89
1122,happy,61.87
1124,happy,82.38
1126,happy,92.43
1128,happy,98.68
1130,neutral,59.47
1132,happy,95.92
1134,neutral,39.80
1136,neutral,48.42
1138,neutral,52.95
1140,neutral,60.56
1142,neutral,55.42
1144,happy,85.38
1146,happy,79.27
1148,happy,87.66
1150,happy,92.49
1152,happy,97.74
1154,happy,98.53
1156,happy,98.96
1158,happy,98.85
1160,happy,99.26
1162,happy,99.43
1204,happy,99.80
1206,happy,99.95
1210,happy,99.96
1212,happy,99.94
1216,happy,99.91
1220,happy,99.93
1238,happy,98.07
1244,happy,99.82
1246,happy,94.77
1248,happy,63.47
1250,happy,98.11
1252,happy,100.00
1264,happy,99.92
1268,happy,97.96
1274,happy,99.94
1276,happy,99.96
1278,happy,99.88
1280,happy,99.82
1282,happy,99.47
1284,happy,99.66
1286,happy,97.42
1288,happy,91.89
1290,happy,66.51
1292,happy,94.59
1294,happy,95.56
1296,happy,79.41
1298,happy,83.78
1300,happy,75.32
1302,happy,91.61
1304,happy,97.36
1306,happy,79.69
1308,happy,82.49
1310,happy,73.29
1312,happy,63.27
1314,happy,66.07
1316,happy,97.00
1318,happy,72.34
1320,happy,95.33
1322,happy,93.17
1324,happy,96.20
1326,happy,78.56
1328,happy,80.78
1330,happy,80.86
1332,happy,81.75
1334,happy,94.24
1336,happy,87.96
1338,happy,87.76
1340,happy,85.37
1342,happy,81.64
1344,happy,94.22
1346,happy,87.57
1348,happy,91.35
1350,happy,78.74
1352,happy,73.18
1354,happy,74.16
1356,happy,73.48
1358,happy,73.03
1360,happy,94.65
1362,happy,76.38
1364,happy,85.08
1366,happy,47.82
1368,happy,82.30
