Frame,Emotion,Confidence (%)
586,neutral,99.229965
588,neutral,99.707344
590,neutral,99.86558
592,neutral,99.795784
594,neutral,98.92413
596,neutral,99.84383
598,neutral,99.90908
600,neutral,99.641945
602,neutral,99.26
604,neutral,99.59395
606,neutral,99.379654
608,neutral,91.87645
610,neutral,67.377335
612,neutral,67.01811
614,neutral,60.63562
616,neutral,63.354588
618,sad,45.248928
620,sad,48.57531
622,neutral,81.162575
624,sad,50.65705
626,neutral,61.41667
628,sad,99.76787
630,neutral,87.38359
632,fear,36.032127
634,neutral,51.382973
636,neutral,80.67792
638,neutral,98.87041
640,neutral,99.7971
642,neutral,99.97415
644,neutral,99.351875
646,neutral,99.43869
648,neutral,99.11393
650,neutral,99.53376
652,neutral,99.76532
654,neutral,99.97733
656,neutral,99.78601
658,neutral,99.703445
660,neutral,99.917915
662,neutral,99.87877
664,neutral,99.979645
666,neutral,99.79036
668,neutral,99.8499
670,neutral,99.730835
672,neutral,99.63643
674,neutral,99.82485
676,neutral,99.94237
678,neutral,99.88784
680,neutral,99.94756
682,neutral,99.81542
684,neutral,99.48961
686,happy,81.48862
688,happy,93.01862
690,happy,89.491066
692,happy,99.646164
694,surprise,58.428677
696,surprise,98.23316
698,happy,99.44868
700,sad,48.91747
702,sad,66.99485
704,happy,87.59831
706,happy,63.932503
708,sad,52.02064
710,sad,99.99642
712,sad,46.94989
714,happy,73.27091
716,happy,75.23885
718,happy,39.6706
720,happy,77.91151
722,happy,97.868935
724,happy,89.265686
726,happy,96.29793
728,happy,96.76088
730,happy,99.4337
732,happy,99.39363
734,happy,99.75109
736,happy,98.93617
738,happy,96.56809
740,happy,96.96289
742,happy,99.53741
744,neutral,94.17233
746,neutral,98.53501
748,neutral,98.70798
750,neutral,99.91484
752,neutral,99.982254
754,neutral,99.96114
756,neutral,99.95793
758,neutral,99.3607
760,neutral,99.16844
762,neutral,99.42561
764,neutral,98.91696
766,neutral,95.39175
768,neutral,99.988144
770,neutral,99.96603
772,neutral,99.98966
774,neutral,99.87515
776,neutral,99.20509
778,neutral,99.676506
780,neutral,99.93974
782,neutral,99.988884
784,neutral,99.83763
786,neutral,99.8594
788,neutral,99.94271
790,neutral,99.68239
792,neutral,99.682686
